Record Time,Train Time (s),Method,Model Name,Feature Columns,Target Column,Parameters,CV Score (R²),R Square Score,Mean Absolute Error (MAE),Mean Squared Error (MSE),Root Mean Squared Error (RMSE),Mean Error Percentage (%)
2025-07-18 16:04:48.294910,0.018,Basic,DecisionTree,AGE_12,Wage (CAD/hour),,,0.108,12.788,325.436,18.04,50.825
2025-07-18 16:04:48.412626,0.015,Basic,DecisionTree,"AGE_12, LFSSTAT",Wage (CAD/hour),,,0.108,12.786,325.394,18.039,50.829
2025-07-18 16:04:48.529848,0.014,Basic,DecisionTree,"AGE_12, LFSSTAT",Wage (CAD/hour),,,0.109,12.784,325.261,18.035,50.816
2025-07-18 16:04:48.655397,0.021,Basic,DecisionTree,"EDUC, AGE_12, LFSSTAT, GENDER, IMMIG",Wage (CAD/hour),,,0.232,11.456,280.249,16.741,47.131
2025-07-18 16:04:48.778740,0.023,Basic,DecisionTree,"EDUC, AGE_12, LFSSTAT, GENDER, IMMIG",Wage (CAD/hour),,,0.239,11.311,277.727,16.665,46.921
2025-07-18 16:04:48.903853,0.024,Basic,DecisionTree,"EDUC, AGE_12, LFSSTAT, GENDER, IMMIG",Wage (CAD/hour),,,0.234,11.35,279.684,16.724,47.105
2025-07-18 16:04:49.558165,0.273,Basic,RandomForest,AGE_12,Wage (CAD/hour),,,0.108,12.791,325.457,18.04,50.807
2025-07-18 16:04:50.057102,0.361,Basic,RandomForest,"AGE_12, LFSSTAT",Wage (CAD/hour),,,0.108,12.789,325.413,18.039,50.81
2025-07-18 16:04:50.332052,0.155,Basic,RandomForest,"AGE_12, LFSSTAT",Wage (CAD/hour),,,0.109,12.788,325.235,18.034,50.786
2025-07-18 16:04:50.885711,0.411,Basic,RandomForest,"EDUC, AGE_12, LFSSTAT, GENDER, IMMIG",Wage (CAD/hour),,,0.243,11.29,276.325,16.623,46.806
2025-07-18 16:04:51.871151,0.808,Basic,RandomForest,"EDUC, AGE_12, LFSSTAT, GENDER, IMMIG",Wage (CAD/hour),,,0.243,11.29,276.331,16.623,46.806
2025-07-18 16:04:52.926117,0.862,Basic,RandomForest,"EDUC, AGE_12, LFSSTAT, GENDER, IMMIG",Wage (CAD/hour),,,0.239,11.329,277.89,16.67,46.944
2025-07-18 16:04:53.329106,0.101,Basic,AdaBoost,AGE_12,Wage (CAD/hour),,,0.061,13.848,342.669,18.511,47.437
2025-07-18 16:04:53.542177,0.111,Basic,AdaBoost,"AGE_12, LFSSTAT",Wage (CAD/hour),,,0.061,13.844,342.584,18.509,47.444
2025-07-18 16:04:53.824117,0.173,Basic,AdaBoost,"AGE_12, LFSSTAT",Wage (CAD/hour),,,-0.009,14.685,368.373,19.193,46.489
